label	fix
/Corsica/3975-01/2016(H1N1)	A/Corsica/3975-01/2016
/Norway/466/2014	A/Norway/466/2014
?/AthensGR/584/2011	A/AthensGR/584/2011
A.AbuDhabi/390121/2021	A/AbuDhabi/390121/2021
A/Abu_Dhabi/2210383196/2021/2021	A/AbuDhabi/2210383196/2021
A-Adana-AD2-2019	A/Adana/AD2/2019
A-Adana-AD3-2019n	A/Adana/AD3/2019
A-Adana-AD7-2019	A/Adana/AD7/2019
A-Ankara-1597-2019	A/Ankara/1597/2019
A-Ankara-1616-2019	A/Ankara/1616/2019
A-Ankara-1636-2019	A/Ankara/1636/2019
A-Ankara-1640-2019	A/Ankara/1640/2019
A-Ankara-1672-2019	A/Ankara/1672/2019
A-Ankara-1684-2019	A/Ankara/1684/2019
A-Ankara-1685-2019	A/Ankara/1685/2019
A-Ankara-1687-2019	A/Ankara/1687/2019
A-Ankara-1692-2019	A/Ankara/1692/2019
A-Ankara-720-2019	A/Ankara/720/2019
A-Ankara-739-2019	A/Ankara/739/2019
A-Ankara-753-2019	A/Ankara/753/2019
A-Ankara-755-2019	A/Ankara/755/2019
A-Ankara-799-2019	A/Ankara/799/2019
A-Ankara-807-2019	A/Ankara/807/2019
A-Eskisehir-1654-2019	A/Eskisehir/1654/2019
A-Eskisehir-750-2019	A/Eskisehir/750/2019
A-Eskisehir-751-2019	A/Eskisehir/751/2019
A-Kahramanmaras-AD4-2019	A/Kahramanmaras/AD4/2019
A-Konya-701-2019	A/Konya/701/2019
A-Konya-730-2019	A/Konya/730/2019
A-Konya-738-2019	A/Konya/738/2019
A-Konya-820-2019	A/Konya/820/2019
A-Konya-827-2019	A/Konya/827/2019
A-Mardin-840-2019	A/Mardin/840/2019
A-Sanliurfa-AD5-2019	A/Sanliurfa/AD5/2019
A-Van-794-2019	A/Van/794/2019
A-Van-795-2019	A/Van/795/2019
A-Yozgat-806-2019	A/Yozgat/806/2019
A-Zonguldak-814-2019	A/Zonguldak/814/2019
A-Zonguldak-815-2019	A/Zonguldak/815/2019
A-Zonguldak-819-2019	A/Zonguldak/819/2019
A_Hanam_EL135_2008	A/Hanam/EL135/2008
A_Hanam_EL196_2009	A/Hanam/EL196/2009
A_Hanam_EL204_H145S02_2009	A/Hanam/EL204_H145S02/2009
A_Hanam_EL206_107S06_2009	A/Hanam/EL206_107S06/2009
A_Hanam_EL442_150S01_2010	A/Hanam/EL442_150S01/2010
A_Hanam_EL443_265S01_2010	A/Hanam/EL443_265S01/2010
A_Hanam_EL12112_145S04_2012	A/Hanam/EL12112_145S04/2012
A_Hanam_EL12113_171S03_2012	A/Hanam/EL12113_171S03/2012
A_Hanam_EL12114_153S02_2012	A/Hanam/EL12114_153S02/2012
A_Hanam_EL13124_150S04_2013	A/Hanam/EL13124_150S04/2013
A_Hanam_EL13142_283S04_2013	A/Hanam/EL13142_283S04/2013
A_Hanam_EL13232_145S03_2013	A/Hanam/EL13232_145S03/2013
A_Hanam_EL13234_202S04_2013	A/Hanam/EL13234_202S04/2013
A_Hanam_EL13237_275S01_2013	A/Hanam/EL13237_275S01/2013
A_Hanam_EL13239_103S01_2013	A/Hanam/EL13239_103S01/2013
A_Hanam_EL13240_093S06_2013	A/Hanam/EL13240_093S06/2013
A_Hanam_EL13246_284S06_2013	A/Hanam/EL13246_284S06/2013
A_Hanam_EL13255_171S02_2013	A/Hanam/EL13255_171S02/2013
A_Hanam_EL14302_193S03_2014	A/Hanam/EL14302_193S03/2014
A_Hanam_EL14405_149S03_2014_Partial	A/Hanam/EL14405_149S03/2014
A_Hanam_EL14420_321S03_2014_Partial	A/Hanam/EL14420_321S03/2014
A_Hanam_EL14423_251S02_2014	A/Hanam/EL14423_251S02/2014
A_Hanam_EL14427_151S01_2014	A/Hanam/EL14427_151S01/2014
A_Hanam_EL14428_194S01_2014	A/Hanam/EL14428_194S01/2014
A_Hanam_EL14431_H194S03_2014	A/Hanam/EL14431_H194S03/2014
A_Hanam_EL14432_194S02_2014	A/Hanam/EL14432_194S02/2014
A_Hanam_EL14435_263S03_2014	A/Hanam/EL14435_263S03/2014
A_Hanam_EL14441_165S02_2014	A/Hanam/EL14441_165S02/2014
A_Hanam_EL14443_138S02_2014	A/Hanam/EL14443_138S02/2014
A_Hanam_EL14445_063S02_2014	A/Hanam/EL14445_063S02/2014
A_Hanam_EL14446_018S02_2014	A/Hanam/EL14446_018S02/2014
A_Hanam_EL14448_108S01_2014	A/Hanam/EL14448_108S01/2014
A_Hanam_EL14449_178S01_2014	A/Hanam/EL14449_178S01/2014
A_Hanam_EL14452_152S03_2014	A/Hanam/EL14452_152S03/2014
A_Hanam_EL14457_280S01_2014	A/Hanam/EL14457_280S01/2014
A_Hanam_EL14459_280S03_2014	A/Hanam/EL14459_280S03/2014
A_Hanam_EL14460_280S04_2014	A/Hanam/EL14460_280S04/2014
A_Hanam_EL17767_025S01_2017	A/Hanam/EL17767_025S01/2017
A_Hanam_EL17772_155S01_2017	A/Hanam/EL17772_155S01/2017
A_Hanam_EL17773_280S01_2017	A/Hanam/EL17773_280S01/2017
A_Hanam_EL17795_053S02_2017	A/Hanam/EL17795_053S02/2017
A_Hanam_EL17804_045S01_2017	A/Hanam/EL17804_045S01/2017
A_Hanam_EL17805_155S05_2017	A/Hanam/EL17805_155S05/2017
A_Hanam_ELI12116_2012	A/Hanam/ELI12116/2012
A_HaNam_ELI17781_2017	A/HaNam/ELI17781/2017
